Fecha,Hora (UTC),HR
01-07-2021,0:00,74.0
01-07-2021,1:00,78.8
01-07-2021,2:00,86.9
01-07-2021,3:00,84.0
01-07-2021,4:00,84.1
01-07-2021,5:00,88.1
01-07-2021,6:00,90.0
01-07-2021,7:00,93.8
01-07-2021,8:00,94.5
01-07-2021,9:00,96.0
01-07-2021,10:00,96.0
01-07-2021,11:00,96.0
01-07-2021,12:00,96.0
01-07-2021,13:00,96.0
01-07-2021,14:00,83.0
01-07-2021,15:00,72.0
01-07-2021,16:00,66.0
01-07-2021,17:00,52.0
01-07-2021,18:00,37.0
01-07-2021,19:00,34.0
01-07-2021,20:00,35.0
01-07-2021,21:00,41.0
01-07-2021,22:00,47.0
01-07-2021,23:00,55.0
02-07-2021,0:00,63.0
02-07-2021,1:00,68.7
02-07-2021,2:00,73.0
02-07-2021,3:00,74.0
02-07-2021,4:00,82.6
02-07-2021,5:00,87.1
02-07-2021,6:00,88.0
02-07-2021,7:00,91.1
02-07-2021,8:00,94.2
02-07-2021,9:00,95.0
02-07-2021,10:00,96.0
02-07-2021,11:00,96.0
02-07-2021,12:00,97.0
02-07-2021,13:00,97.0
02-07-2021,14:00,79.0
02-07-2021,15:00,62.0
02-07-2021,16:00,55.0
02-07-2021,17:00,50.0
02-07-2021,18:00,42.0
02-07-2021,19:00,42.0
02-07-2021,20:00,38.0
02-07-2021,21:00,40.0
02-07-2021,22:00,39.0
02-07-2021,23:00,60.0
03-07-2021,0:00,68.0
03-07-2021,1:00,70.8
03-07-2021,2:00,77.2
03-07-2021,3:00,84.0
03-07-2021,4:00,86.3
03-07-2021,5:00,87.6
03-07-2021,6:00,89.0
03-07-2021,7:00,92.6
03-07-2021,8:00,93.0
03-07-2021,9:00,94.0
03-07-2021,10:00,94.0
03-07-2021,11:00,94.0
03-07-2021,12:00,94.0
03-07-2021,13:00,94.0
03-07-2021,14:00,71.0
03-07-2021,15:00,56.0
03-07-2021,16:00,46.0
03-07-2021,17:00,37.0
03-07-2021,18:00,31.0
03-07-2021,19:00,31.0
03-07-2021,20:00,33.0
03-07-2021,21:00,41.0
03-07-2021,22:00,52.0
03-07-2021,23:00,73.0
04-07-2021,0:00,79.0
04-07-2021,1:00,84.0
04-07-2021,2:00,87.0
04-07-2021,3:00,91.0
04-07-2021,4:00,93.1
04-07-2021,5:00,94.2
04-07-2021,6:00,95.0
04-07-2021,7:00,96.1
04-07-2021,8:00,96.5
04-07-2021,9:00,97.0
04-07-2021,10:00,97.0
04-07-2021,11:00,97.0
04-07-2021,12:00,97.0
04-07-2021,13:00,98.0
04-07-2021,14:00,81.0
04-07-2021,15:00,60.0
04-07-2021,16:00,48.0
04-07-2021,17:00,37.0
04-07-2021,18:00,33.0
04-07-2021,19:00,28.0
04-07-2021,20:00,22.0
04-07-2021,21:00,34.0
04-07-2021,22:00,52.0
04-07-2021,23:00,67.0
05-07-2021,0:00,81.0
05-07-2021,1:00,88.5
05-07-2021,2:00,90.7
05-07-2021,3:00,91.0
05-07-2021,4:00,93.6
05-07-2021,5:00,94.2
05-07-2021,6:00,92.0
05-07-2021,7:00,93.1
05-07-2021,8:00,92.6
05-07-2021,9:00,94.0
05-07-2021,10:00,95.0
05-07-2021,11:00,96.0
05-07-2021,12:00,96.0
05-07-2021,13:00,96.0
05-07-2021,14:00,74.0
05-07-2021,15:00,44.0
05-07-2021,16:00,35.0
05-07-2021,17:00,29.0
05-07-2021,18:00,25.0
05-07-2021,19:00,22.0
05-07-2021,20:00,33.0
05-07-2021,21:00,46.0
05-07-2021,22:00,57.0
05-07-2021,23:00,67.0
06-07-2021,0:00,71.0
06-07-2021,1:00,92.3
06-07-2021,2:00,96.4
06-07-2021,3:00,97.0
06-07-2021,4:00,96.4
