Fecha,Hora (UTC),RRR6 (mm),Traza ()
01-04-2023,0:00,0.0,Falso
01-04-2023,6:00,0.0,Falso
01-04-2023,12:00,0.0,Falso
01-04-2023,18:00,0.0,Falso
02-04-2023,0:00,0.0,Falso
02-04-2023,6:00,0.0,Falso
02-04-2023,12:00,0.0,Falso
02-04-2023,18:00,0.0,Falso
03-04-2023,0:00,0.5,Falso
03-04-2023,6:00,0.0,Falso
03-04-2023,12:00,0.0,Falso
03-04-2023,18:00,0.0,Falso
04-04-2023,0:00,0.0,Falso
04-04-2023,6:00,0.0,Falso
04-04-2023,12:00,0.0,Falso
04-04-2023,18:00,0.0,Falso
05-04-2023,0:00,0.0,Falso
05-04-2023,6:00,0.0,Falso
05-04-2023,12:00,0.0,Falso
05-04-2023,18:00,0.0,Falso
06-04-2023,0:00,0.0,Falso
06-04-2023,6:00,0.0,Falso
06-04-2023,12:00,0.0,Falso
06-04-2023,18:00,0.0,Falso
07-04-2023,0:00,0.0,Falso
07-04-2023,6:00,0.0,Falso
07-04-2023,12:00,0.0,Falso
07-04-2023,18:00,0.0,Falso
08-04-2023,0:00,0.0,Falso
08-04-2023,6:00,0.0,Falso
08-04-2023,12:00,0.0,Falso
08-04-2023,18:00,0.0,Falso
09-04-2023,0:00,0.0,Falso
09-04-2023,6:00,0.0,Falso
09-04-2023,12:00,0.0,Falso
09-04-2023,18:00,0.0,Falso
10-04-2023,0:00,0.0,Falso
10-04-2023,6:00,0.0,Falso
10-04-2023,12:00,0.0,Falso
10-04-2023,18:00,0.0,Falso
11-04-2023,0:00,0.0,Falso
11-04-2023,6:00,0.0,Falso
11-04-2023,12:00,0.1,Falso
11-04-2023,18:00,0.1,Falso
12-04-2023,0:00,0.0,Falso
12-04-2023,6:00,0.0,Falso
12-04-2023,12:00,0.0,Falso
12-04-2023,18:00,0.0,Falso
13-04-2023,0:00,0.0,Falso
13-04-2023,6:00,0.0,Falso
13-04-2023,12:00,0.0,Falso
13-04-2023,18:00,0.0,Falso
14-04-2023,0:00,0.0,Falso
14-04-2023,6:00,0.0,Falso
14-04-2023,12:00,0.0,Falso
14-04-2023,18:00,0.0,Falso
15-04-2023,0:00,0.0,Falso
15-04-2023,6:00,0.0,Falso
15-04-2023,12:00,0.0,Falso
15-04-2023,18:00,0.0,Falso
16-04-2023,0:00,1.5,Falso
16-04-2023,6:00,0.0,Falso
16-04-2023,12:00,0.0,Falso
16-04-2023,18:00,0.0,Falso
17-04-2023,0:00,0.0,Falso
17-04-2023,6:00,0.0,Falso
17-04-2023,12:00,0.0,Falso
17-04-2023,18:00,0.0,Falso
18-04-2023,0:00,0.0,Falso
18-04-2023,6:00,0.0,Falso
18-04-2023,12:00,0.0,Falso
18-04-2023,18:00,0.0,Falso
19-04-2023,0:00,0.0,Falso
19-04-2023,6:00,0.0,Falso
19-04-2023,12:00,0.0,Falso
19-04-2023,18:00,0.0,Falso
20-04-2023,0:00,0.0,Falso
20-04-2023,6:00,0.0,Falso
20-04-2023,12:00,0.0,Falso
20-04-2023,18:00,0.0,Falso
21-04-2023,0:00,0.0,Falso
21-04-2023,6:00,0.0,Falso
21-04-2023,12:00,0.0,Falso
21-04-2023,18:00,0.0,Falso
22-04-2023,0:00,0.2,Falso
22-04-2023,6:00,0.0,Falso
22-04-2023,12:00,0.0,Falso
22-04-2023,18:00,0.0,Falso
23-04-2023,0:00,0.0,Falso
23-04-2023,6:00,0.0,Falso
23-04-2023,12:00,0.0,Falso
23-04-2023,18:00,0.0,Falso
24-04-2023,0:00,0.0,Falso
24-04-2023,6:00,0.0,Falso
24-04-2023,12:00,0.0,Falso
24-04-2023,18:00,0.0,Falso
25-04-2023,0:00,0.0,Falso
25-04-2023,6:00,0.0,Falso
25-04-2023,12:00,0.0,Falso
25-04-2023,18:00,0.0,Falso
26-04-2023,0:00,0.0,Falso
26-04-2023,6:00,0.0,Falso
26-04-2023,12:00,0.0,Falso
26-04-2023,18:00,0.0,Falso
27-04-2023,0:00,0.0,Falso
27-04-2023,6:00,0.0,Falso
27-04-2023,12:00,0.0,Falso
27-04-2023,18:00,0.0,Falso
28-04-2023,0:00,0.0,Falso
28-04-2023,6:00,0.0,Falso
28-04-2023,12:00,0.0,Falso
28-04-2023,18:00,3.4,Falso
29-04-2023,0:00,25.1,Falso
29-04-2023,6:00,25.7,Falso
29-04-2023,12:00,47.0,Falso
29-04-2023,18:00,25.4,Falso
30-04-2023,0:00,32.6,Falso
30-04-2023,6:00,9.7,Falso
30-04-2023,12:00,0.0,Falso
30-04-2023,18:00,5.7,Falso
