Fecha,Hora (UTC),HR
01-07-2023,0:00,76.0
01-07-2023,1:00,83.1
01-07-2023,2:00,85.0
01-07-2023,3:00,88.0
01-07-2023,4:00,88.5
01-07-2023,5:00,92.5
01-07-2023,6:00,94.0
01-07-2023,7:00,97.4
01-07-2023,8:00,98.3
01-07-2023,9:00,99.0
01-07-2023,10:00,92.0
01-07-2023,11:00,95.0
01-07-2023,12:00,97.0
01-07-2023,13:00,97.0
01-07-2023,14:00,63.0
01-07-2023,15:00,50.0
01-07-2023,16:00,39.0
01-07-2023,17:00,32.0
01-07-2023,18:00,30.0
01-07-2023,19:00,27.0
01-07-2023,20:00,32.0
01-07-2023,21:00,39.0
01-07-2023,22:00,53.0
01-07-2023,23:00,66.0
02-07-2023,0:00,68.0
02-07-2023,1:00,73.5
02-07-2023,2:00,85.7
02-07-2023,3:00,94.0
02-07-2023,4:00,97.3
02-07-2023,5:00,98.6
02-07-2023,6:00,93.0
02-07-2023,7:00,100.0
02-07-2023,8:00,100.0
02-07-2023,9:00,100.0
02-07-2023,10:00,100.0
02-07-2023,11:00,100.0
02-07-2023,12:00,100.0
02-07-2023,13:00,100.0
02-07-2023,14:00,100.0
02-07-2023,15:00,100.0
02-07-2023,16:00,89.0
02-07-2023,17:00,85.0
02-07-2023,18:00,79.0
02-07-2023,19:00,81.0
02-07-2023,20:00,73.0
02-07-2023,21:00,76.0
02-07-2023,22:00,85.0
02-07-2023,23:00,96.0
03-07-2023,0:00,100.0
03-07-2023,1:00,100.0
03-07-2023,2:00,100.0
03-07-2023,3:00,100.0
03-07-2023,4:00,100.0
03-07-2023,5:00,100.0
03-07-2023,6:00,100.0
03-07-2023,7:00,100.0
03-07-2023,8:00,100.0
03-07-2023,9:00,100.0
03-07-2023,10:00,100.0
03-07-2023,11:00,100.0
03-07-2023,12:00,100.0
03-07-2023,13:00,100.0
03-07-2023,14:00,100.0
03-07-2023,15:00,96.0
03-07-2023,16:00,75.0
03-07-2023,17:00,59.0
03-07-2023,18:00,48.0
03-07-2023,19:00,41.0
03-07-2023,20:00,36.0
03-07-2023,21:00,32.0
03-07-2023,22:00,49.0
03-07-2023,23:00,68.0
04-07-2023,0:00,78.0
04-07-2023,1:00,88.0
04-07-2023,2:00,91.3
04-07-2023,3:00,91.0
04-07-2023,4:00,95.5
04-07-2023,5:00,98.1
04-07-2023,6:00,98.0
04-07-2023,7:00,95.6
04-07-2023,8:00,94.6
04-07-2023,9:00,96.0
04-07-2023,10:00,96.0
04-07-2023,11:00,99.0
04-07-2023,12:00,99.0
04-07-2023,13:00,97.0
04-07-2023,14:00,63.0
04-07-2023,15:00,60.0
04-07-2023,16:00,55.0
04-07-2023,17:00,60.0
04-07-2023,18:00,52.0
04-07-2023,19:00,48.0
04-07-2023,20:00,48.0
04-07-2023,21:00,51.0
04-07-2023,22:00,59.0
04-07-2023,23:00,64.0
05-07-2023,0:00,78.0
05-07-2023,1:00,86.6
05-07-2023,2:00,93.3
05-07-2023,3:00,96.0
05-07-2023,4:00,94.6
05-07-2023,5:00,97.8
05-07-2023,6:00,96.0
05-07-2023,7:00,99.7
05-07-2023,8:00,99.9
05-07-2023,9:00,100.0
05-07-2023,10:00,100.0
05-07-2023,11:00,100.0
05-07-2023,12:00,100.0
05-07-2023,13:00,100.0
05-07-2023,14:00,98.0
05-07-2023,15:00,67.0
05-07-2023,16:00,62.0
05-07-2023,17:00,53.0
05-07-2023,18:00,48.0
05-07-2023,19:00,40.0
05-07-2023,20:00,38.0
05-07-2023,21:00,42.0
05-07-2023,22:00,55.0
05-07-2023,23:00,58.0
06-07-2023,0:00,59.0
06-07-2023,1:00,65.3
06-07-2023,2:00,73.9
06-07-2023,3:00,76.0
06-07-2023,4:00,81.4
06-07-2023,5:00,82.2
06-07-2023,6:00,84.0
06-07-2023,7:00,79.1
06-07-2023,8:00,84.0
06-07-2023,9:00,88.0
06-07-2023,10:00,90.0
06-07-2023,11:00,89.0
06-07-2023,12:00,94.0
06-07-2023,13:00,92.0
06-07-2023,14:00,82.0
06-07-2023,15:00,75.0
06-07-2023,16:00,61.0
06-07-2023,17:00,58.0
06-07-2023,18:00,59.0
06-07-2023,19:00,63.0
06-07-2023,20:00,64.0
06-07-2023,21:00,67.0
06-07-2023,22:00,73.0
06-07-2023,23:00,84.0
07-07-2023,0:00,92.0
07-07-2023,1:00,98.2
07-07-2023,2:00,99.1
07-07-2023,3:00,99.0
07-07-2023,4:00,99.4
07-07-2023,5:00,97.8
07-07-2023,6:00,98.0
07-07-2023,7:00,98.6
07-07-2023,8:00,99.4
07-07-2023,9:00,99.0
07-07-2023,10:00,99.0
07-07-2023,11:00,100.0
07-07-2023,12:00,100.0
07-07-2023,13:00,100.0
07-07-2023,14:00,92.0
07-07-2023,15:00,83.0
07-07-2023,16:00,74.0
07-07-2023,17:00,71.0
07-07-2023,18:00,71.0
07-07-2023,19:00,71.0
07-07-2023,20:00,71.0
07-07-2023,21:00,73.0
07-07-2023,22:00,77.0
07-07-2023,23:00,80.0
08-07-2023,0:00,88.0
08-07-2023,1:00,96.7
08-07-2023,2:00,98.0
08-07-2023,3:00,99.0
08-07-2023,4:00,100.0
08-07-2023,5:00,100.0
08-07-2023,6:00,100.0
08-07-2023,7:00,100.0
08-07-2023,8:00,100.0
08-07-2023,9:00,100.0
08-07-2023,10:00,100.0
08-07-2023,11:00,100.0
08-07-2023,12:00,100.0
08-07-2023,13:00,100.0
08-07-2023,14:00,100.0
08-07-2023,15:00,84.0
08-07-2023,16:00,66.0
08-07-2023,17:00,44.0
08-07-2023,18:00,40.0
08-07-2023,19:00,44.0
08-07-2023,20:00,40.0
08-07-2023,21:00,48.0
08-07-2023,22:00,58.0
08-07-2023,23:00,70.0
09-07-2023,0:00,82.0
09-07-2023,1:00,95.8
09-07-2023,2:00,100.0
09-07-2023,3:00,100.0
09-07-2023,4:00,100.0
09-07-2023,5:00,100.0
09-07-2023,6:00,100.0
09-07-2023,7:00,99.4
09-07-2023,8:00,97.8
09-07-2023,9:00,97.0
09-07-2023,10:00,97.0
09-07-2023,11:00,96.0
09-07-2023,12:00,96.0
09-07-2023,13:00,99.0
09-07-2023,14:00,92.0
09-07-2023,15:00,89.0
09-07-2023,16:00,78.0
09-07-2023,17:00,75.0
09-07-2023,18:00,76.0
09-07-2023,19:00,71.0
09-07-2023,20:00,67.0
09-07-2023,21:00,68.0
09-07-2023,22:00,72.0
09-07-2023,23:00,89.0
10-07-2023,0:00,95.0
10-07-2023,1:00,100.0
