Fecha,Hora (UTC),RRR6 (mm),Traza ()
01-05-2021,0:00,0.0,Falso
01-05-2021,6:00,0.0,Falso
01-05-2021,12:00,0.0,Falso
01-05-2021,18:00,0.0,Falso
02-05-2021,0:00,0.0,Falso
02-05-2021,6:00,0.0,Falso
02-05-2021,12:00,0.0,Falso
02-05-2021,18:00,0.0,Falso
03-05-2021,0:00,0.0,Falso
03-05-2021,6:00,0.0,Falso
03-05-2021,12:00,0.0,Falso
03-05-2021,18:00,0.0,Falso
04-05-2021,0:00,0.0,Falso
04-05-2021,6:00,0.0,Falso
04-05-2021,12:00,0.0,Falso
04-05-2021,18:00,0.0,Falso
05-05-2021,0:00,0.0,Falso
05-05-2021,6:00,0.0,Falso
05-05-2021,12:00,0.0,Falso
05-05-2021,18:00,0.0,Falso
06-05-2021,0:00,0.0,Falso
06-05-2021,6:00,0.0,Falso
06-05-2021,12:00,0.0,Falso
06-05-2021,18:00,0.0,Falso
07-05-2021,0:00,0.0,Falso
07-05-2021,6:00,0.0,Falso
07-05-2021,12:00,0.0,Falso
07-05-2021,18:00,0.0,Falso
08-05-2021,0:00,0.0,Falso
08-05-2021,6:00,0.0,Falso
08-05-2021,12:00,0.0,Falso
08-05-2021,18:00,0.0,Falso
09-05-2021,0:00,0.0,Falso
09-05-2021,6:00,0.0,Falso
09-05-2021,12:00,0.0,Falso
09-05-2021,18:00,0.0,Falso
10-05-2021,0:00,0.0,Falso
10-05-2021,6:00,0.0,Falso
10-05-2021,12:00,0.0,Falso
10-05-2021,18:00,0.0,Falso
11-05-2021,0:00,0.0,Falso
11-05-2021,6:00,0.0,Falso
11-05-2021,12:00,0.0,Falso
11-05-2021,18:00,0.0,Falso
12-05-2021,0:00,0.0,Falso
12-05-2021,6:00,0.0,Falso
12-05-2021,12:00,0.0,Falso
12-05-2021,18:00,0.0,Falso
13-05-2021,0:00,0.0,Falso
13-05-2021,6:00,0.0,Falso
13-05-2021,12:00,0.0,Falso
13-05-2021,18:00,0.0,Falso
14-05-2021,0:00,0.0,Falso
14-05-2021,6:00,0.0,Falso
14-05-2021,12:00,0.0,Falso
14-05-2021,18:00,0.0,Falso
15-05-2021,0:00,0.0,Falso
15-05-2021,6:00,0.0,Falso
15-05-2021,12:00,0.0,Falso
15-05-2021,18:00,0.0,Falso
16-05-2021,0:00,0.0,Falso
16-05-2021,6:00,0.0,Falso
16-05-2021,12:00,0.0,Falso
16-05-2021,18:00,0.0,Falso
17-05-2021,0:00,0.0,Falso
17-05-2021,6:00,0.0,Falso
17-05-2021,12:00,0.0,Falso
17-05-2021,18:00,0.0,Falso
18-05-2021,0:00,0.0,Falso
18-05-2021,6:00,0.0,Falso
18-05-2021,12:00,0.0,Falso
18-05-2021,18:00,0.0,Falso
19-05-2021,0:00,0.0,Falso
19-05-2021,6:00,0.0,Falso
19-05-2021,12:00,0.0,Falso
19-05-2021,18:00,0.0,Falso
20-05-2021,0:00,0.0,Falso
20-05-2021,6:00,0.0,Falso
20-05-2021,12:00,0.0,Falso
20-05-2021,18:00,0.0,Falso
21-05-2021,0:00,0.0,Falso
21-05-2021,6:00,0.0,Falso
21-05-2021,12:00,0.0,Falso
21-05-2021,18:00,0.0,Falso
22-05-2021,0:00,0.0,Falso
22-05-2021,6:00,0.0,Falso
22-05-2021,12:00,0.0,Falso
22-05-2021,18:00,0.0,Falso
23-05-2021,0:00,0.0,Falso
23-05-2021,6:00,0.0,Falso
23-05-2021,12:00,0.0,Falso
23-05-2021,18:00,0.0,Falso
24-05-2021,0:00,0.0,Falso
24-05-2021,6:00,0.0,Falso
24-05-2021,12:00,0.0,Falso
24-05-2021,18:00,0.0,Falso
25-05-2021,0:00,0.0,Falso
25-05-2021,6:00,0.0,Falso
25-05-2021,12:00,0.0,Falso
25-05-2021,18:00,0.0,Falso
26-05-2021,0:00,0.0,Falso
26-05-2021,6:00,0.0,Falso
26-05-2021,12:00,0.0,Falso
26-05-2021,18:00,0.0,Falso
27-05-2021,0:00,0.0,Falso
27-05-2021,6:00,0.0,Falso
27-05-2021,12:00,0.0,Falso
27-05-2021,18:00,0.0,Falso
28-05-2021,0:00,0.0,Falso
28-05-2021,6:00,0.0,Falso
28-05-2021,12:00,0.0,Falso
28-05-2021,18:00,0.0,Falso
29-05-2021,0:00,0.0,Falso
29-05-2021,6:00,0.0,Falso
29-05-2021,12:00,0.0,Falso
29-05-2021,18:00,0.0,Falso
30-05-2021,0:00,0.0,Falso
30-05-2021,6:00,0.0,Falso
30-05-2021,12:00,0.0,Falso
30-05-2021,18:00,0.0,Falso
31-05-2021,0:00,0.0,Falso
31-05-2021,6:00,0.0,Falso
31-05-2021,12:00,0.0,Falso
31-05-2021,18:00,0.0,Falso
