Fecha,Hora (UTC),RRR6 (mm),Traza ()
01-06-2023,00:00,0.0,Falso
01-06-2023,06:00,0.0,Falso
01-06-2023,12:00,0.0,Falso
01-06-2023,18:00,0.0,Falso
02-06-2023,00:00,6.0,Falso
02-06-2023,06:00,47.5,Falso
02-06-2023,12:00,17.7,Falso
02-06-2023,18:00,2.2,Falso
03-06-2023,00:00,0.5,Falso
03-06-2023,06:00,2.5,Falso
03-06-2023,12:00,0.2,Falso
03-06-2023,18:00,14.6,Falso
04-06-2023,00:00,22.4,Falso
04-06-2023,06:00,2.6,Falso
04-06-2023,12:00,0.5,Falso
04-06-2023,18:00,0.4,Falso
05-06-2023,00:00,0.0,Falso
05-06-2023,06:00,0.0,Falso
05-06-2023,12:00,0.0,Falso
05-06-2023,18:00,0.0,Falso
06-06-2023,00:00,0.0,Falso
06-06-2023,06:00,0.0,Falso
06-06-2023,12:00,0.0,Falso
06-06-2023,18:00,6.1,Falso
07-06-2023,00:00,0.7,Falso
07-06-2023,06:00,0.1,Falso
07-06-2023,12:00,0.0,Falso
07-06-2023,18:00,0.0,Falso
08-06-2023,00:00,0.0,Falso
08-06-2023,06:00,0.0,Falso
08-06-2023,12:00,0.7,Falso
08-06-2023,18:00,24.4,Falso
09-06-2023,00:00,46.6,Falso
09-06-2023,06:00,18.4,Falso
09-06-2023,12:00,0.0,Falso
09-06-2023,18:00,2.0,Falso
10-06-2023,00:00,0.0,Falso
10-06-2023,06:00,0.0,Falso
10-06-2023,12:00,0.0,Falso
10-06-2023,18:00,2.2,Falso
11-06-2023,00:00,0.0,Falso
11-06-2023,06:00,0.0,Falso
11-06-2023,12:00,0.0,Falso
11-06-2023,18:00,0.1,Falso
12-06-2023,00:00,0.0,Falso
12-06-2023,06:00,0.0,Falso
12-06-2023,12:00,0.0,Falso
12-06-2023,18:00,0.0,Falso
13-06-2023,00:00,0.0,Falso
13-06-2023,06:00,0.0,Falso
13-06-2023,12:00,0.0,Falso
13-06-2023,18:00,0.0,Falso
14-06-2023,00:00,0.0,Falso
14-06-2023,06:00,0.0,Falso
14-06-2023,12:00,0.0,Falso
14-06-2023,18:00,0.0,Falso
15-06-2023,00:00,0.0,Falso
15-06-2023,06:00,0.0,Falso
15-06-2023,12:00,0.0,Falso
15-06-2023,18:00,0.0,Falso
16-06-2023,00:00,0.0,Falso
16-06-2023,06:00,0.0,Falso
16-06-2023,12:00,0.0,Falso
16-06-2023,18:00,0.0,Falso
17-06-2023,00:00,0.0,Falso
17-06-2023,06:00,0.0,Falso
17-06-2023,12:00,0.0,Falso
17-06-2023,18:00,0.0,Falso
18-06-2023,00:00,0.0,Falso
18-06-2023,06:00,0.0,Falso
18-06-2023,12:00,0.0,Falso
18-06-2023,18:00,0.0,Falso
19-06-2023,00:00,0.0,Falso
19-06-2023,06:00,0.0,Falso
19-06-2023,12:00,0.0,Falso
19-06-2023,18:00,0.0,Falso
20-06-2023,00:00,0.0,Falso
20-06-2023,06:00,0.0,Falso
20-06-2023,12:00,0.0,Falso
20-06-2023,18:00,0.0,Falso
21-06-2023,00:00,0.0,Falso
21-06-2023,06:00,0.0,Falso
21-06-2023,12:00,0.0,Falso
21-06-2023,18:00,0.0,Falso
22-06-2023,00:00,3.3,Falso
22-06-2023,06:00,1.8,Falso
22-06-2023,12:00,18.2,Falso
22-06-2023,18:00,26.4,Falso
23-06-2023,00:00,29.2,Falso
23-06-2023,06:00,19.2,Falso
23-06-2023,12:00,42.5,Falso
23-06-2023,18:00,47.8,Falso
24-06-2023,00:00,51.7,Falso
24-06-2023,06:00,64.5,Falso
24-06-2023,12:00,53.4,Falso
24-06-2023,18:00,42.3,Falso
25-06-2023,00:00,36.0,Falso
25-06-2023,06:00,46.2,Falso
25-06-2023,12:00,29.5,Falso
25-06-2023,18:00,46.4,Falso
26-06-2023,00:00,24.8,Falso
26-06-2023,06:00,3.2,Falso
26-06-2023,12:00,0.4,Falso
26-06-2023,18:00,2.3,Falso
27-06-2023,00:00,2.8,Falso
27-06-2023,06:00,0.0,Falso
27-06-2023,12:00,0.0,Falso
27-06-2023,18:00,0.0,Falso
28-06-2023,00:00,0.0,Falso
28-06-2023,06:00,0.0,Falso
28-06-2023,12:00,0.4,Falso
28-06-2023,18:00,9.2,Falso
29-06-2023,00:00,0.0,Falso
29-06-2023,06:00,0.0,Falso
29-06-2023,12:00,0.0,Falso
29-06-2023,18:00,0.0,Falso
30-06-2023,00:00,0.0,Falso
30-06-2023,06:00,0.0,Falso
30-06-2023,12:00,0.0,Falso
30-06-2023,18:00,0.0,Falso
