Fecha,Hora (UTC),RRR6 (mm),Traza ()
01-05-2023,0:00,6.2,Falso
01-05-2023,6:00,0.1,Falso
01-05-2023,12:00,0.0,Falso
01-05-2023,18:00,3.0,Falso
02-05-2023,0:00,3.1,Falso
02-05-2023,6:00,0.0,Falso
02-05-2023,12:00,0.0,Falso
02-05-2023,18:00,0.0,Falso
03-05-2023,0:00,0.0,Falso
03-05-2023,6:00,0.0,Falso
03-05-2023,12:00,0.0,Falso
03-05-2023,18:00,0.0,Falso
04-05-2023,0:00,0.0,Falso
04-05-2023,6:00,0.0,Falso
04-05-2023,12:00,0.0,Falso
04-05-2023,18:00,0.0,Falso
05-05-2023,0:00,0.0,Falso
05-05-2023,6:00,0.0,Falso
05-05-2023,12:00,0.0,Falso
05-05-2023,18:00,0.0,Falso
06-05-2023,0:00,0.0,Falso
06-05-2023,6:00,0.0,Falso
06-05-2023,12:00,0.0,Falso
06-05-2023,18:00,0.0,Falso
07-05-2023,0:00,0.0,Falso
07-05-2023,6:00,0.0,Falso
07-05-2023,12:00,0.0,Falso
07-05-2023,18:00,0.0,Falso
08-05-2023,0:00,0.0,Falso
08-05-2023,6:00,0.0,Falso
08-05-2023,12:00,0.0,Falso
08-05-2023,18:00,0.0,Falso
09-05-2023,0:00,0.0,Falso
09-05-2023,6:00,0.0,Falso
09-05-2023,12:00,0.0,Falso
09-05-2023,18:00,0.0,Falso
10-05-2023,0:00,0.0,Falso
10-05-2023,6:00,0.0,Falso
10-05-2023,12:00,0.0,Falso
10-05-2023,18:00,0.0,Falso
11-05-2023,0:00,0.0,Falso
11-05-2023,6:00,0.0,Falso
11-05-2023,12:00,0.0,Falso
11-05-2023,18:00,0.0,Falso
12-05-2023,0:00,0.0,Falso
12-05-2023,6:00,0.0,Falso
12-05-2023,12:00,0.0,Falso
12-05-2023,18:00,0.0,Falso
13-05-2023,0:00,0.0,Falso
13-05-2023,6:00,0.0,Falso
13-05-2023,12:00,0.0,Falso
13-05-2023,18:00,0.0,Falso
14-05-2023,0:00,0.0,Falso
14-05-2023,6:00,0.0,Falso
14-05-2023,12:00,0.0,Falso
14-05-2023,18:00,0.0,Falso
15-05-2023,0:00,0.0,Falso
15-05-2023,6:00,0.0,Falso
15-05-2023,12:00,0.0,Falso
15-05-2023,18:00,0.0,Falso
16-05-2023,0:00,0.0,Falso
16-05-2023,6:00,0.0,Falso
16-05-2023,12:00,0.0,Falso
16-05-2023,18:00,0.0,Falso
17-05-2023,0:00,0.0,Falso
17-05-2023,6:00,0.0,Falso
17-05-2023,12:00,1.1,Falso
17-05-2023,18:00,3.2,Falso
18-05-2023,0:00,6.6,Falso
18-05-2023,6:00,0.0,Falso
18-05-2023,12:00,0.0,Falso
18-05-2023,18:00,0.0,Falso
19-05-2023,0:00,0.0,Falso
19-05-2023,6:00,0.0,Falso
19-05-2023,12:00,0.1,Falso
19-05-2023,18:00,0.0,Falso
20-05-2023,0:00,0.0,Falso
20-05-2023,6:00,0.0,Falso
20-05-2023,12:00,0.0,Falso
20-05-2023,18:00,0.0,Falso
21-05-2023,0:00,0.0,Falso
21-05-2023,6:00,0.0,Falso
21-05-2023,12:00,0.0,Falso
21-05-2023,18:00,6.3,Falso
22-05-2023,0:00,11.9,Falso
22-05-2023,6:00,5.1,Falso
22-05-2023,12:00,1.0,Falso
22-05-2023,18:00,16.8,Falso
23-05-2023,0:00,14.6,Falso
23-05-2023,6:00,16.5,Falso
23-05-2023,12:00,17.3,Falso
23-05-2023,18:00,6.3,Falso
24-05-2023,0:00,9.3,Falso
24-05-2023,6:00,3.3,Falso
24-05-2023,12:00,0.6,Falso
24-05-2023,18:00,4.2,Falso
25-05-2023,0:00,5.9,Falso
25-05-2023,6:00,1.9,Falso
25-05-2023,12:00,0.3,Falso
25-05-2023,18:00,0.1,Falso
26-05-2023,0:00,1.5,Falso
26-05-2023,6:00,0.4,Falso
26-05-2023,12:00,0.1,Falso
26-05-2023,18:00,10.6,Falso
27-05-2023,0:00,6.8,Falso
27-05-2023,6:00,0.1,Falso
27-05-2023,12:00,0.0,Falso
27-05-2023,18:00,5.4,Falso
28-05-2023,0:00,0.0,Falso
28-05-2023,6:00,0.0,Falso
28-05-2023,12:00,0.0,Falso
28-05-2023,18:00,0.0,Falso
29-05-2023,0:00,0.0,Falso
29-05-2023,6:00,0.0,Falso
29-05-2023,12:00,0.0,Falso
29-05-2023,18:00,0.0,Falso
30-05-2023,0:00,0.0,Falso
30-05-2023,6:00,0.0,Falso
30-05-2023,12:00,0.0,Falso
30-05-2023,18:00,0.0,Falso
31-05-2023,0:00,0.0,Falso
31-05-2023,6:00,9.4,Falso
31-05-2023,12:00,2.9,Falso
31-05-2023,18:00,0.0,Falso
